class_name
donburi_small
donburi_medium
donburi_kubire_big
donburi_kubire_extralarge
ovalplate_small
ovalplate_big
soupbowl_small
soupbowl_big
squareplate
blueplate_small
blueplate_big
multitieredbox
kids
flatplate
fryingpan
circleplate
